"precinct","population.size","voted.democrat","voted.republican","year"
1,2088,1185,903,2008
2,459,254,205,2008
3,1876,1055,821,2008
4,435,228,207,2008
5,678,389,289,2008
6,744,408,336,2008
7,294,160,134,2008
8,1236,685,551,2008
9,2430,1327,1103,2008
10,928,520,408,2008
11,712,388,324,2008
12,1225,658,567,2008
13,1916,1041,875,2008
14,1040,591,449,2008
15,195,113,82,2008
16,2138,1192,946,2008
17,731,425,306,2008
18,3160,1719,1441,2008
19,806,441,365,2008
20,1944,1080,864,2008
21,1030,567,463,2008
22,1824,1002,822,2008
23,775,458,317,2008
24,1128,616,512,2008
25,1342,746,596,2008
26,559,330,229,2008
27,288,166,122,2008
28,227,127,100,2008
29,2625,1396,1229,2008
30,1615,889,726,2008
31,586,317,269,2008
32,548,318,230,2008
33,4513,2380,2133,2008
34,1808,993,815,2008
35,195,104,91,2008
36,1618,885,733,2008
37,390,211,179,2008
38,1526,865,661,2008
39,1796,1011,785,2008
40,1634,903,731,2008
41,1000,557,443,2008
42,1139,640,499,2008
43,815,425,390,2008
44,331,171,160,2008
45,1711,938,773,2008
46,381,201,180,2008
47,1610,887,723,2008
48,1604,908,696,2008
49,51,26,25,2008
50,1742,946,796,2008
51,1360,747,613,2008
52,1651,910,741,2008
53,114,52,62,2008
54,938,516,422,2008
55,962,506,456,2008
56,999,538,461,2008
57,671,366,305,2008
58,985,535,450,2008
59,1078,576,502,2008
60,1302,749,553,2008
61,333,185,148,2008
62,2691,1478,1213,2008
63,276,141,135,2008
64,2308,1286,1022,2008
65,1056,586,470,2008
66,1629,875,754,2008
67,992,545,447,2008
68,678,367,311,2008
69,2445,1333,1112,2008
70,4210,2280,1930,2008
71,193,111,82,2008
72,701,399,302,2008
73,1006,517,489,2008
74,553,316,237,2008
75,1682,957,725,2008
76,1651,891,760,2008
77,1211,681,530,2008
78,1287,710,577,2008
79,325,182,143,2008
80,694,401,293,2008
81,605,332,273,2008
82,242,124,118,2008
83,3310,1834,1476,2008
84,146,78,68,2008
85,2363,1257,1106,2008
86,729,394,335,2008
87,794,424,370,2008
88,3699,2082,1617,2008
89,721,414,307,2008
90,1112,625,487,2008
91,1224,708,516,2008
92,381,208,173,2008
93,2777,1517,1260,2008
94,532,329,203,2008
95,420,244,176,2008
96,1032,556,476,2008
97,1068,571,497,2008
98,917,502,415,2008
99,1841,1035,806,2008
100,869,459,410,2008
101,1790,937,853,2008
102,1782,973,809,2008
103,872,478,394,2008
104,1119,624,495,2008
105,1054,598,456,2008
106,937,514,423,2008
107,859,479,380,2008
108,1819,1052,767,2008
109,353,200,153,2008
110,1754,965,789,2008
111,373,191,182,2008
112,1226,656,570,2008
113,3033,1659,1374,2008
114,591,315,276,2008
115,714,376,338,2008
116,3849,2133,1716,2008
117,649,334,315,2008
118,503,265,238,2008
119,628,361,267,2008
120,635,346,289,2008
121,170,87,83,2008
122,417,243,174,2008
123,1333,723,610,2008
124,1185,683,502,2008
125,1060,586,474,2008
126,368,204,164,2008
127,95,47,48,2008
128,366,205,161,2008
129,1102,630,472,2008
130,1300,721,579,2008
131,411,209,202,2008
132,469,281,188,2008
133,536,284,252,2008
134,690,375,315,2008
135,256,151,105,2008
136,2361,1279,1082,2008
137,1065,571,494,2008
138,647,341,306,2008
139,314,173,141,2008
140,1938,1087,851,2008
141,1015,550,465,2008
142,2198,1225,973,2008
143,1711,969,742,2008
144,1818,995,823,2008
145,698,382,316,2008
146,410,237,173,2008
147,1481,835,646,2008
148,495,254,241,2008
149,176,97,79,2008
150,596,328,268,2008
151,241,137,104,2008
152,780,430,350,2008
153,727,370,357,2008
154,542,301,241,2008
155,701,390,311,2008
156,386,206,180,2008
157,1162,667,495,2008
158,985,563,422,2008
159,481,260,221,2008
160,583,309,274,2008
161,1101,609,492,2008
162,2043,1117,926,2008
163,887,488,399,2008
164,3354,1884,1470,2008
165,134,69,65,2008
166,143,76,67,2008
167,655,364,291,2008
168,1013,544,469,2008
169,1647,919,728,2008
170,1340,719,621,2008
171,2183,1206,977,2008
172,765,416,349,2008
173,717,379,338,2008
174,1891,1016,875,2008
175,961,528,433,2008
176,452,260,192,2008
177,383,212,171,2008
178,914,541,373,2008
179,409,225,184,2008
180,742,417,325,2008
181,1923,1063,860,2008
182,1940,1032,908,2008
183,774,397,377,2008
184,188,110,78,2008
185,601,347,254,2008
186,1703,896,807,2008
187,104,64,40,2008
188,1970,1062,908,2008
189,374,205,169,2008
190,996,554,442,2008
191,904,486,418,2008
192,531,290,241,2008
193,1038,567,471,2008
194,294,158,136,2008
195,390,221,169,2008
196,1051,584,467,2008
197,756,413,343,2008
198,381,214,167,2008
199,452,238,214,2008
200,273,153,120,2008
201,110,66,44,2008
202,3649,2033,1616,2008
203,427,244,183,2008
204,2207,1184,1023,2008
205,413,238,175,2008
206,284,149,135,2008
207,1285,701,584,2008
208,1461,818,643,2008
209,576,317,259,2008
210,1577,836,741,2008
211,404,229,175,2008
212,1985,1072,913,2008
213,365,195,170,2008
214,2562,1376,1186,2008
215,340,186,154,2008
216,480,261,219,2008
217,1517,844,673,2008
218,730,391,339,2008
219,377,204,173,2008
220,1124,612,512,2008
221,362,204,158,2008
222,786,445,341,2008
223,1236,654,582,2008
224,1649,935,714,2008
225,516,281,235,2008
226,627,352,275,2008
227,1027,537,490,2008
228,1359,742,617,2008
229,1457,799,658,2008
230,1750,962,788,2008
231,615,320,295,2008
232,1187,659,528,2008
233,1447,795,652,2008
234,626,337,289,2008
235,441,234,207,2008
236,1241,703,538,2008
237,318,167,151,2008
238,921,515,406,2008
239,607,334,273,2008
240,1633,863,770,2008
241,1703,922,781,2008
242,936,532,404,2008
243,578,298,280,2008
244,238,137,101,2008
245,203,117,86,2008
246,1151,611,540,2008
247,543,309,234,2008
248,1280,706,574,2008
249,539,313,226,2008
250,700,391,309,2008
251,812,442,370,2008
252,1493,804,689,2008
253,929,466,463,2008
254,179,84,95,2008
255,1882,1047,835,2008
256,1727,959,768,2008
257,1329,694,635,2008
258,3186,1696,1490,2008
259,2405,1325,1080,2008
260,1260,680,580,2008
261,147,77,70,2008
262,4784,2621,2163,2008
263,821,453,368,2008
264,1142,644,498,2008
265,162,93,69,2008
266,589,324,265,2008
267,177,96,81,2008
268,346,191,155,2008
269,362,198,164,2008
270,901,514,387,2008
271,1243,656,587,2008
272,212,113,99,2008
273,1370,780,590,2008
274,877,489,388,2008
275,1060,581,479,2008
276,32,14,18,2008
277,407,211,196,2008
278,867,447,420,2008
279,146,86,60,2008
280,2723,1490,1233,2008
281,352,198,154,2008
282,2430,1331,1099,2008
283,549,299,250,2008
284,343,196,147,2008
285,2067,1116,951,2008
286,783,447,336,2008
287,1002,545,457,2008
288,1133,633,500,2008
289,283,155,128,2008
290,1880,1013,867,2008
291,416,210,206,2008
292,400,214,186,2008
293,660,380,280,2008
294,2189,1208,981,2008
295,2845,1576,1269,2008
296,1595,866,729,2008
297,2557,1402,1155,2008
298,596,336,260,2008
299,260,133,127,2008
300,936,522,414,2008
301,119,65,54,2008
302,674,352,322,2008
303,2350,1311,1039,2008
304,1486,805,681,2008
305,636,363,273,2008
306,430,236,194,2008
307,819,442,377,2008
308,1727,949,778,2008
309,945,536,409,2008
310,679,375,304,2008
311,702,387,315,2008
312,1523,815,708,2008
313,1243,680,563,2008
314,1730,952,778,2008
315,928,498,430,2008
316,931,496,435,2008
317,570,310,260,2008
318,272,156,116,2008
319,1434,832,602,2008
320,351,203,148,2008
321,287,157,130,2008
322,1226,685,541,2008
323,1144,650,494,2008
324,391,205,186,2008
325,260,143,117,2008
326,1044,571,473,2008
327,1780,962,818,2008
328,1318,717,601,2008
329,366,223,143,2008
330,1490,851,639,2008
331,1262,692,570,2008
332,1632,886,746,2008
333,3409,1852,1557,2008
334,241,128,113,2008
335,519,280,239,2008
336,1299,738,561,2008
337,821,434,387,2008
338,1574,858,716,2008
339,368,221,147,2008
340,949,535,414,2008
341,988,555,433,2008
342,1271,720,551,2008
343,676,412,264,2008
344,2331,1286,1045,2008
345,454,249,205,2008
346,1126,619,507,2008
347,811,468,343,2008
348,295,168,127,2008
349,596,325,271,2008
350,395,212,183,2008
351,995,569,426,2008
352,257,144,113,2008
353,165,84,81,2008
354,900,494,406,2008
355,1993,1124,869,2008
356,1186,635,551,2008
357,601,337,264,2008
358,514,281,233,2008
359,591,343,248,2008
360,1746,932,814,2008
361,1405,762,643,2008
362,409,231,178,2008
363,1299,696,603,2008
364,1157,624,533,2008
365,74,44,30,2008
366,1280,683,597,2008
367,2421,1343,1078,2008
368,906,507,399,2008
369,202,112,90,2008
370,689,387,302,2008
371,496,279,217,2008
372,574,334,240,2008
373,366,210,156,2008
374,1104,608,496,2008
375,784,445,339,2008
376,756,415,341,2008
377,585,329,256,2008
378,1237,684,553,2008
379,586,323,263,2008
380,1686,891,795,2008
381,767,431,336,2008
382,562,308,254,2008
383,520,297,223,2008
384,343,177,166,2008
385,1395,802,593,2008
386,1232,659,573,2008
387,297,152,145,2008
388,1150,623,527,2008
389,543,294,249,2008
390,648,370,278,2008
391,2186,1188,998,2008
392,845,466,379,2008
393,980,548,432,2008
394,464,262,202,2008
395,1600,901,699,2008
396,1266,689,577,2008
397,1373,742,631,2008
398,284,150,134,2008
399,138,82,56,2008
400,1660,937,723,2008
401,395,233,162,2008
402,1219,708,511,2008
403,884,505,379,2008
404,66,40,26,2008
405,2309,1272,1037,2008
406,3087,1676,1411,2008
407,792,452,340,2008
408,381,222,159,2008
409,2243,1189,1054,2008
410,512,282,230,2008
411,680,340,340,2008
412,3538,1922,1616,2008
413,1777,962,815,2008
414,1003,560,443,2008
415,437,249,188,2008
416,343,193,150,2008
417,1874,1053,821,2008
418,1925,1051,874,2008
419,552,295,257,2008
420,627,312,315,2008
421,1906,1058,848,2008
422,4205,2311,1894,2008
423,844,463,381,2008
424,982,559,423,2008
425,2388,1338,1050,2008
426,406,218,188,2008
427,3541,1938,1603,2008
428,264,156,108,2008
429,3200,1754,1446,2008
430,810,421,389,2008
431,447,239,208,2008
432,1934,1096,838,2008
433,823,466,357,2008
434,1274,700,574,2008
435,951,516,435,2008
436,746,413,333,2008
437,239,126,113,2008
438,845,475,370,2008
439,219,126,93,2008
440,536,307,229,2008
441,325,170,155,2008
442,287,159,128,2008
443,387,211,176,2008
444,2769,1548,1221,2008
445,1001,575,426,2008
446,1076,567,509,2008
447,599,322,277,2008
448,1301,693,608,2008
449,902,488,414,2008
450,845,473,372,2008
451,1078,574,504,2008
452,852,462,390,2008
453,733,406,327,2008
454,504,276,228,2008
455,659,362,297,2008
456,352,177,175,2008
457,965,529,436,2008
458,2011,1125,886,2008
459,375,213,162,2008
460,2405,1349,1056,2008
461,476,262,214,2008
462,1132,632,500,2008
463,377,197,180,2008
464,434,240,194,2008
465,1410,803,607,2008
466,936,522,414,2008
467,741,410,331,2008
468,2387,1279,1108,2008
469,2142,1187,955,2008
470,959,528,431,2008
471,1170,632,538,2008
472,431,241,190,2008
473,2053,1138,915,2008
474,934,494,440,2008
475,2826,1598,1228,2008
476,678,384,294,2008
477,369,200,169,2008
478,291,171,120,2008
479,20,7,13,2008
480,636,340,296,2008
481,1427,834,593,2008
482,418,229,189,2008
483,1945,1096,849,2008
484,1638,902,736,2008
485,459,252,207,2008
486,838,454,384,2008
487,1504,845,659,2008
488,283,156,127,2008
489,642,350,292,2008
490,400,221,179,2008
491,326,169,157,2008
492,1875,1055,820,2008
493,1362,754,608,2008
494,1562,863,699,2008
495,519,276,243,2008
496,816,432,384,2008
497,121,60,61,2008
498,1219,662,557,2008
499,599,335,264,2008
500,897,490,407,2008
501,1468,826,642,2008
502,2007,1061,946,2008
503,342,176,166,2008
504,104,59,45,2008
505,1357,756,601,2008
506,1037,584,453,2008
507,321,174,147,2008
508,1395,779,616,2008
509,2156,1209,947,2008
510,1627,889,738,2008
511,568,314,254,2008
512,907,481,426,2008
513,514,282,232,2008
514,1109,607,502,2008
515,1482,818,664,2008
516,517,269,248,2008
517,952,536,416,2008
518,4078,2197,1881,2008
519,997,533,464,2008
520,1587,905,682,2008
521,2521,1375,1146,2008
522,394,223,171,2008
523,1265,689,576,2008
524,595,321,274,2008
525,650,369,281,2008
526,104,52,52,2008
527,577,320,257,2008
528,1227,683,544,2008
529,2083,1131,952,2008
530,433,232,201,2008
531,471,257,214,2008
532,320,169,151,2008
533,774,430,344,2008
534,955,535,420,2008
535,187,95,92,2008
536,2276,1262,1014,2008
537,466,243,223,2008
538,420,235,185,2008
539,1518,819,699,2008
540,825,450,375,2008
541,396,206,190,2008
542,553,289,264,2008
543,421,233,188,2008
544,509,256,253,2008
545,1389,762,627,2008
546,1429,783,646,2008
547,565,330,235,2008
548,580,296,284,2008
549,976,529,447,2008
550,394,220,174,2008
551,1366,725,641,2008
552,704,390,314,2008
553,1681,937,744,2008
554,547,301,246,2008
555,1601,867,734,2008
556,1662,893,769,2008
557,1649,900,749,2008
558,436,249,187,2008
559,322,183,139,2008
560,479,269,210,2008
561,229,125,104,2008
562,876,467,409,2008
563,324,166,158,2008
564,503,284,219,2008
565,1287,713,574,2008
566,1098,600,498,2008
567,881,504,377,2008
568,1830,1010,820,2008
569,351,195,156,2008
570,354,204,150,2008
571,607,317,290,2008
572,2025,1102,923,2008
573,833,457,376,2008
574,1013,553,460,2008
575,1943,1075,868,2008
576,713,393,320,2008
577,585,330,255,2008
578,1417,761,656,2008
579,1186,645,541,2008
580,953,528,425,2008
581,791,436,355,2008
582,667,370,297,2008
583,907,515,392,2008
584,270,142,128,2008
585,3495,1924,1571,2008
586,488,271,217,2008
587,994,537,457,2008
588,1378,739,639,2008
589,1339,734,605,2008
590,1952,1073,879,2008
591,774,410,364,2008
592,3302,1723,1579,2008
593,508,299,209,2008
594,1336,731,605,2008
595,601,324,277,2008
596,78,44,34,2008
597,2339,1300,1039,2008
598,609,338,271,2008
599,280,155,125,2008
600,607,311,296,2008
601,876,514,362,2008
602,49,32,17,2008
603,1970,1076,894,2008
604,942,521,421,2008
605,1438,772,666,2008
606,1826,987,839,2008
607,2054,1120,934,2008
608,1337,790,547,2008
609,337,201,136,2008
610,602,297,305,2008
611,1141,616,525,2008
612,234,139,95,2008
613,23,13,10,2008
614,2119,1124,995,2008
615,1134,604,530,2008
616,849,471,378,2008
617,3303,1798,1505,2008
618,1293,706,587,2008
619,1593,907,686,2008
620,43,24,19,2008
621,2021,1101,920,2008
622,480,262,218,2008
623,325,183,142,2008
624,1112,610,502,2008
625,590,329,261,2008
626,129,68,61,2008
627,1930,1038,892,2008
628,335,174,161,2008
629,1245,678,567,2008
630,1711,899,812,2008
631,1406,770,636,2008
632,1211,694,517,2008
633,1824,1021,803,2008
634,196,111,85,2008
635,1158,622,536,2008
636,1251,687,564,2008
637,3318,1807,1511,2008
638,653,347,306,2008
639,1966,1086,880,2008
640,1317,727,590,2008
641,254,139,115,2008
642,632,340,292,2008
643,576,326,250,2008
644,1718,951,767,2008
645,1279,700,579,2008
646,437,234,203,2008
647,2185,1217,968,2008
648,808,417,391,2008
649,149,84,65,2008
650,386,205,181,2008
651,2754,1484,1270,2008
652,881,526,355,2008
653,2983,1663,1320,2008
654,822,456,366,2008
655,445,258,187,2008
656,1261,676,585,2008
657,318,176,142,2008
658,1871,1030,841,2008
659,1819,1021,798,2008
660,1610,914,696,2008
661,2290,1292,998,2008
662,1026,541,485,2008
663,1170,635,535,2008
664,346,190,156,2008
665,456,264,192,2008
666,566,318,248,2008
667,615,318,297,2008
668,1061,568,493,2008
669,1261,672,589,2008
670,688,377,311,2008
671,975,534,441,2008
672,850,465,385,2008
673,923,508,415,2008
674,549,292,257,2008
675,933,514,419,2008
676,254,133,121,2008
677,889,473,416,2008
678,721,376,345,2008
679,255,148,107,2008
680,832,451,381,2008
681,305,168,137,2008
682,229,126,103,2008
683,1181,639,542,2008
684,1171,630,541,2008
685,415,223,192,2008
686,1385,784,601,2008
687,1663,905,758,2008
688,644,368,276,2008
689,1257,672,585,2008
690,630,360,270,2008
691,1469,796,673,2008
692,2827,1552,1275,2008
693,1372,775,597,2008
694,37,18,19,2008
695,986,530,456,2008
696,1753,958,795,2008
697,408,216,192,2008
698,422,233,189,2008
699,534,289,245,2008
700,1566,900,666,2008
701,962,499,463,2008
702,709,394,315,2008
703,3406,1902,1504,2008
704,1342,731,611,2008
705,404,237,167,2008
706,799,438,361,2008
707,1140,620,520,2008
708,967,529,438,2008
709,1196,649,547,2008
710,1102,614,488,2008
711,204,111,93,2008
712,321,189,132,2008
713,1543,860,683,2008
714,744,430,314,2008
715,631,317,314,2008
716,400,200,200,2008
717,817,451,366,2008
718,580,316,264,2008
719,337,196,141,2008
720,1124,629,495,2008
721,239,128,111,2008
722,1017,559,458,2008
723,522,279,243,2008
724,2293,1275,1018,2008
725,1835,999,836,2008
726,1852,1020,832,2008
727,1679,952,727,2008
728,1679,902,777,2008
729,1074,622,452,2008
730,1211,649,562,2008
731,551,314,237,2008
732,133,81,52,2008
733,1126,594,532,2008
734,182,88,94,2008
735,1882,1047,835,2008
736,1120,595,525,2008
737,2305,1250,1055,2008
738,2070,1175,895,2008
739,622,337,285,2008
740,1000,577,423,2008
741,350,200,150,2008
742,181,108,73,2008
743,380,237,143,2008
744,1919,1078,841,2008
745,1479,821,658,2008
746,1221,666,555,2008
747,347,200,147,2008
748,1774,957,817,2008
749,1955,1088,867,2008
750,201,119,82,2008
751,889,494,395,2008
752,865,460,405,2008
753,1890,1032,858,2008
754,863,486,377,2008
755,1972,1100,872,2008
756,1325,730,595,2008
757,1233,676,557,2008
758,1238,676,562,2008
759,863,449,414,2008
760,2902,1589,1313,2008
761,404,226,178,2008
762,251,152,99,2008
763,90,43,47,2008
764,1366,766,600,2008
765,369,206,163,2008
766,435,238,197,2008
767,341,197,144,2008
768,788,439,349,2008
769,457,247,210,2008
770,340,197,143,2008
771,1377,750,627,2008
772,1213,676,537,2008
773,629,362,267,2008
774,685,377,308,2008
775,1774,1007,767,2008
776,398,211,187,2008
777,1461,815,646,2008
778,910,494,416,2008
779,505,289,216,2008
780,1350,708,642,2008
781,893,500,393,2008
782,2742,1500,1242,2008
783,340,185,155,2008
784,1037,579,458,2008
785,1178,679,499,2008
786,692,389,303,2008
787,142,75,67,2008
788,538,304,234,2008
789,504,265,239,2008
790,660,372,288,2008
791,964,529,435,2008
792,3819,2075,1744,2008
793,153,84,69,2008
794,388,230,158,2008
795,869,491,378,2008
796,243,125,118,2008
797,1206,676,530,2008
798,1302,686,616,2008
799,311,165,146,2008
800,2212,1257,955,2008
801,2442,1363,1079,2008
802,434,231,203,2008
803,688,401,287,2008
804,241,141,100,2008
805,2345,1273,1072,2008
806,1636,902,734,2008
807,1796,1010,786,2008
808,482,269,213,2008
809,1827,1024,803,2008
810,898,511,387,2008
811,1115,613,502,2008
812,838,478,360,2008
813,2451,1347,1104,2008
814,664,345,319,2008
815,790,418,372,2008
816,930,517,413,2008
817,348,184,164,2008
818,740,387,353,2008
819,146,81,65,2008
820,223,114,109,2008
821,917,494,423,2008
822,1202,654,548,2008
823,705,382,323,2008
824,648,363,285,2008
825,1714,946,768,2008
826,4112,2251,1861,2008
827,1790,980,810,2008
828,158,88,70,2008
829,642,340,302,2008
830,1732,981,751,2008
831,378,207,171,2008
832,1397,761,636,2008
833,300,167,133,2008
834,1508,845,663,2008
835,1969,1060,909,2008
836,451,254,197,2008
837,1085,580,505,2008
838,376,196,180,2008
839,858,469,389,2008
840,719,414,305,2008
841,1233,680,553,2008
842,1713,931,782,2008
843,1313,717,596,2008
844,1584,874,710,2008
845,352,199,153,2008
846,1056,569,487,2008
847,851,461,390,2008
848,439,241,198,2008
849,821,448,373,2008
850,2239,1252,987,2008
851,952,523,429,2008
852,1438,779,659,2008
853,600,343,257,2008
854,73,39,34,2008
855,1893,1018,875,2008
856,780,436,344,2008
857,1839,963,876,2008
858,1326,730,596,2008
859,596,347,249,2008
860,1053,583,470,2008
861,481,269,212,2008
862,505,281,224,2008
863,828,442,386,2008
864,215,127,88,2008
865,951,529,422,2008
866,553,341,212,2008
867,821,446,375,2008
868,630,357,273,2008
869,469,264,205,2008
870,1303,689,614,2008
871,571,331,240,2008
872,1454,785,669,2008
873,1249,685,564,2008
874,632,353,279,2008
875,754,418,336,2008
876,839,452,387,2008
877,740,406,334,2008
878,647,352,295,2008
879,401,221,180,2008
880,296,161,135,2008
881,608,341,267,2008
882,504,273,231,2008
883,2529,1390,1139,2008
884,297,176,121,2008
885,236,130,106,2008
886,516,300,216,2008
887,571,309,262,2008
888,1202,668,534,2008
889,775,417,358,2008
890,814,448,366,2008
891,273,157,116,2008
892,1226,703,523,2008
893,779,437,342,2008
894,1423,782,641,2008
895,683,370,313,2008
896,2286,1265,1021,2008
897,1230,680,550,2008
898,1121,626,495,2008
899,736,385,351,2008
900,430,233,197,2008
901,592,332,260,2008
902,1175,663,512,2008
903,829,446,383,2008
904,1293,713,580,2008
905,563,307,256,2008
906,1243,689,554,2008
907,455,235,220,2008
908,1307,721,586,2008
909,891,492,399,2008
910,1072,582,490,2008
911,1868,1043,825,2008
912,2250,1251,999,2008
913,972,525,447,2008
914,461,217,244,2008
915,507,267,240,2008
916,2338,1293,1045,2008
917,662,361,301,2008
918,1283,709,574,2008
919,1243,702,541,2008
920,647,345,302,2008
921,1147,639,508,2008
922,2174,1250,924,2008
923,292,146,146,2008
924,1997,1082,915,2008
925,1162,600,562,2008
926,2006,1141,865,2008
927,628,357,271,2008
928,1118,607,511,2008
929,306,171,135,2008
930,506,262,244,2008
931,321,160,161,2008
932,1362,764,598,2008
933,561,319,242,2008
934,352,192,160,2008
935,546,294,252,2008
936,2329,1284,1045,2008
937,1502,797,705,2008
938,199,104,95,2008
939,378,199,179,2008
940,1617,884,733,2008
941,442,242,200,2008
942,931,518,413,2008
943,1749,1029,720,2008
944,882,480,402,2008
945,455,255,200,2008
946,905,471,434,2008
947,169,88,81,2008
948,748,438,310,2008
949,1256,670,586,2008
950,509,283,226,2008
951,587,307,280,2008
952,225,109,116,2008
953,611,333,278,2008
954,492,270,222,2008
955,1043,574,469,2008
956,1020,580,440,2008
957,1002,589,413,2008
958,1194,659,535,2008
959,373,195,178,2008
960,1200,650,550,2008
961,509,266,243,2008
962,1026,544,482,2008
963,1340,759,581,2008
964,677,367,310,2008
965,1770,966,804,2008
966,193,102,91,2008
967,1087,626,461,2008
968,72,35,37,2008
969,1276,666,610,2008
970,767,422,345,2008
971,119,63,56,2008
972,1947,1080,867,2008
973,571,302,269,2008
974,608,337,271,2008
975,729,387,342,2008
976,676,383,293,2008
977,668,355,313,2008
978,354,196,158,2008
979,596,324,272,2008
980,684,376,308,2008
981,1336,735,601,2008
982,1010,562,448,2008
983,1213,700,513,2008
984,2664,1469,1195,2008
985,1551,862,689,2008
986,607,337,270,2008
987,1158,655,503,2008
988,590,329,261,2008
989,581,314,267,2008
990,3003,1657,1346,2008
991,3523,1965,1558,2008
992,1537,881,656,2008
993,1153,616,537,2008
994,568,318,250,2008
995,1039,557,482,2008
996,481,265,216,2008
997,97,46,51,2008
998,767,430,337,2008
999,2106,1185,921,2008
1000,290,157,133,2008
